                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.417,                 5.0574,                 3.8082,                 0.6227,                0.05995,                0.03303,                0.01134,                 2.7389,                 3.6489,                 2.9756,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.3159,                 3.1477,                 2.3595,                0.59338,                  0.176,                0.18536,                0.09758,                 1.9581,                 2.2577,                 1.9857,              0.0065319,              0.0065319,              0.0065319
                      3,                 1.8901,                 2.3548,                  1.853,                0.52031,                0.28484,                0.29399,                0.16254,                 1.7198,                   1.88,                  1.661,              0.0096013,              0.0096013,              0.0096013
                      4,                 1.7168,                 1.8887,                 1.6284,                0.47627,                0.38845,                0.38098,                0.22073,                 1.5685,                 1.4366,                 1.5053,               0.009406,               0.009406,               0.009406
                      5,                 1.6144,                 1.6159,                 1.5157,                0.53936,                0.44706,                0.45421,                0.27026,                 1.4907,                 1.2865,                 1.4262,               0.009406,               0.009406,               0.009406
                      6,                 1.5417,                 1.4613,                 1.4552,                0.65732,                0.48108,                0.50713,                0.30511,                 1.3906,                 1.2114,                 1.3556,               0.009208,               0.009208,               0.009208
                      7,                 1.4862,                 1.3644,                 1.4093,                0.61975,                 0.5066,                0.53205,                0.32717,                 1.3639,                 1.1249,                 1.3244,                0.00901,                0.00901,                0.00901
                      8,                 1.4477,                 1.2736,                 1.3677,                0.65739,                0.53528,                0.56768,                0.35065,                 1.3339,                 1.0619,                 1.3017,               0.008812,               0.008812,               0.008812
                      9,                 1.4194,                 1.2296,                 1.3515,                0.69044,                0.57096,                0.60618,                0.37732,                 1.3058,                0.97973,                 1.2731,               0.008614,               0.008614,               0.008614
                     10,                 1.3999,                 1.1809,                 1.3285,                0.71548,                0.58963,                0.63279,                0.40171,                  1.265,                0.94433,                 1.2482,               0.008416,               0.008416,               0.008416
                     11,                 1.3757,                 1.1413,                 1.3077,                0.71263,                0.61263,                0.65268,                0.40909,                 1.2727,                0.91859,                 1.2398,               0.008218,               0.008218,               0.008218
                     12,                 1.3634,                 1.1067,                 1.2932,                0.73311,                0.60622,                0.66264,                 0.4255,                 1.2544,                 0.9008,                 1.2244,                0.00802,                0.00802,                0.00802
                     13,                 1.3478,                 1.0993,                 1.2851,                0.74234,                0.62975,                0.68055,                0.43875,                 1.2255,                 0.8646,                 1.2074,               0.007822,               0.007822,               0.007822
                     14,                  1.331,                 1.0619,                 1.2705,                0.75276,                 0.6379,                0.68866,                0.45107,                 1.2191,                0.85268,                 1.1985,               0.007624,               0.007624,               0.007624
                     15,                 1.3158,                 1.0404,                 1.2559,                0.77916,                0.64913,                0.70878,                0.46292,                 1.2116,                0.82596,                 1.1907,               0.007426,               0.007426,               0.007426
                     16,                 1.3007,                 1.0174,                 1.2488,                0.78008,                0.65795,                0.71264,                0.46954,                 1.2011,                0.80949,                 1.1802,               0.007228,               0.007228,               0.007228
                     17,                 1.2932,                 1.0056,                 1.2418,                0.79841,                0.65903,                0.72156,                0.47347,                 1.1871,                0.79233,                  1.175,                0.00703,                0.00703,                0.00703
                     18,                 1.2838,                0.98535,                 1.2338,                0.77416,                0.66677,                0.72327,                0.48047,                   1.18,                0.78022,                 1.1662,               0.006832,               0.006832,               0.006832
                     19,                 1.2746,                0.97678,                 1.2288,                0.82036,                0.67302,                0.74162,                0.49146,                 1.1732,                 0.7708,                 1.1613,               0.006634,               0.006634,               0.006634
                     20,                 1.2692,                0.96552,                 1.2255,                0.80018,                0.69148,                 0.7494,                0.50092,                 1.1755,                0.75687,                 1.1571,               0.006436,               0.006436,               0.006436
                     21,                 1.2549,                0.93932,                 1.2122,                0.79363,                0.69282,                 0.7491,                0.50842,                 1.1561,                0.74699,                 1.1467,               0.006238,               0.006238,               0.006238
                     22,                 1.2493,                0.93042,                 1.2066,                0.81058,                0.69501,                0.75745,                0.51219,                 1.1675,                0.74053,                 1.1461,                0.00604,                0.00604,                0.00604
                     23,                 1.2404,                0.91744,                 1.2019,                0.82145,                 0.7017,                0.76607,                 0.5192,                 1.1478,                0.72574,                 1.1403,               0.005842,               0.005842,               0.005842
