                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1641,                 4.4463,                 3.5716,                0.40478,                0.15492,                0.12858,                0.06228,                 2.2183,                   2.82,                 2.4684,              0.0033305,              0.0033305,              0.0033305
                      2,                  1.925,                 2.5367,                 2.0043,                0.39476,                0.31986,                0.31308,                 0.1744,                 1.6584,                 1.9204,                 1.7351,               0.006334,               0.006334,               0.006334
                      3,                 1.6239,                 1.9185,                 1.6226,                0.56045,                 0.4268,                0.43352,                0.25282,                 1.5106,                  1.512,                 1.5489,              0.0090075,              0.0090075,              0.0090075
                      4,                  1.494,                   1.57,                  1.475,                0.61511,                0.52952,                0.55608,                0.34226,                 1.3586,                 1.2229,                 1.4044,               0.008515,               0.008515,               0.008515
                      5,                 1.4011,                 1.3828,                 1.4006,                0.66179,                0.57216,                0.61306,                0.38793,                 1.2847,                 1.0699,                  1.339,               0.008515,               0.008515,               0.008515
                      6,                 1.3471,                 1.2712,                 1.3559,                0.70386,                0.61142,                0.65654,                 0.4233,                  1.241,                0.97496,                 1.2978,                0.00802,                0.00802,                0.00802
                      7,                 1.3063,                 1.1911,                 1.3212,                0.74656,                0.63853,                0.69631,                0.46231,                 1.2049,                0.89792,                 1.2645,               0.007525,               0.007525,               0.007525
                      8,                  1.282,                  1.149,                 1.3023,                0.75526,                0.66765,                0.72221,                0.48103,                 1.1914,                0.86114,                 1.2445,                0.00703,                0.00703,                0.00703
                      9,                 1.2558,                 1.1008,                 1.2835,                0.77873,                 0.6727,                0.73672,                0.50029,                 1.1604,                0.82875,                 1.2237,               0.006535,               0.006535,               0.006535
                     10,                 1.2378,                 1.0643,                 1.2672,                0.78502,                0.68371,                0.75023,                0.50941,                 1.1547,                0.80564,                 1.2132,                0.00604,                0.00604,                0.00604
                     11,                 1.2492,                0.94539,                 1.2722,                0.81109,                0.70072,                0.77538,                0.53488,                 1.1302,                0.77126,                 1.1973,               0.005545,               0.005545,               0.005545
                     12,                 1.2296,                0.90743,                 1.2542,                0.81617,                0.71131,                 0.7839,                0.54536,                 1.1184,                0.75368,                  1.187,                0.00505,                0.00505,                0.00505
                     13,                 1.2117,                0.87822,                 1.2398,                0.82069,                0.71695,                0.79059,                  0.552,                 1.1113,                0.74038,                  1.181,               0.004555,               0.004555,               0.004555
                     14,                 1.1945,                0.85205,                 1.2292,                0.82596,                0.72232,                0.79623,                0.55834,                 1.1065,                0.72996,                 1.1757,                0.00406,                0.00406,                0.00406
                     15,                 1.1791,                0.82877,                 1.2161,                0.82989,                0.72597,                0.80033,                0.56291,                 1.1017,                0.72129,                 1.1709,               0.003565,               0.003565,               0.003565
                     16,                 1.1633,                 0.8075,                  1.204,                 0.8286,                0.73068,                0.80371,                0.56622,                 1.0982,                0.71496,                 1.1672,                0.00307,                0.00307,                0.00307
                     17,                  1.149,                0.78581,                 1.1928,                0.82944,                0.73566,                0.80679,                 0.5693,                 1.0957,                0.70956,                 1.1642,               0.002575,               0.002575,               0.002575
                     18,                 1.1314,                0.76323,                 1.1813,                0.83282,                0.73816,                0.80908,                0.57172,                 1.0928,                 0.7041,                 1.1611,                0.00208,                0.00208,                0.00208
                     19,                 1.1176,                0.74304,                 1.1727,                0.82961,                0.74436,                0.81098,                0.57371,                 1.0902,                 0.6991,                 1.1584,               0.001585,               0.001585,               0.001585
                     20,                 1.0995,                0.71982,                 1.1617,                0.83109,                0.74625,                0.81295,                0.57582,                 1.0882,                0.69418,                 1.1558,                0.00109,                0.00109,                0.00109
