               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11997,             0.07978,            0.041382,           0.0030908,            0.080562,           0.0017076,          0.00040677,             0.11666,            0.053094,            0.041434,              0.0865,              0.0015,              0.0015
                   1,             0.11869,            0.080283,            0.040058,           0.0030752,              0.1617,           0.0023825,           0.0004734,             0.11339,            0.054953,              0.0401,            0.072012,           0.0030123,           0.0030123
                   2,             0.11535,            0.083459,             0.03869,           0.0043089,             0.15965,           0.0033902,          0.00090728,               0.107,            0.059728,            0.037634,            0.057434,           0.0044341,           0.0044341
                   3,              0.1115,            0.088202,            0.036589,           0.0041585,             0.15084,           0.0068366,           0.0016475,             0.10343,            0.062399,             0.03558,            0.042765,           0.0057654,           0.0057654
                   4,             0.10791,            0.095454,            0.034462,            0.007066,             0.24021,            0.012715,           0.0039697,             0.10148,            0.063502,            0.034518,            0.028006,           0.0070062,           0.0070062
                   5,             0.10641,            0.095939,            0.032398,            0.010514,             0.25909,            0.010555,           0.0027836,            0.095534,            0.068505,            0.030659,            0.013156,           0.0081564,           0.0081564
                   6,             0.10148,            0.094258,            0.030499,           0.0067286,             0.16761,           0.0061276,           0.0012772,            0.097567,            0.065551,            0.032702,           0.0083029,           0.0083029,           0.0083029
                   7,             0.10087,            0.097128,            0.028775,             0.35471,            0.064103,            0.012666,           0.0030308,            0.094387,            0.068256,            0.028229,           0.0083029,           0.0083029,           0.0083029
                   8,             0.10078,            0.094202,            0.027204,             0.72712,            0.038462,            0.018792,           0.0043757,            0.092672,            0.072827,            0.027314,             0.00802,             0.00802,             0.00802
                   9,            0.096814,            0.098894,            0.026425,            0.022454,            0.083672,            0.015366,           0.0055352,             0.09266,            0.079946,             0.02724,           0.0077371,           0.0077371,           0.0077371
                  10,             0.09899,            0.095964,            0.023948,             0.35558,            0.049928,            0.010991,           0.0034003,            0.094249,            0.070787,            0.026382,           0.0074543,           0.0074543,           0.0074543
                  11,            0.097233,            0.099489,            0.024153,            0.046877,             0.11474,            0.038731,            0.013341,            0.087073,            0.075995,            0.023525,           0.0071714,           0.0071714,           0.0071714
                  12,            0.092736,            0.099742,            0.023017,            0.035133,               0.111,             0.02834,           0.0078604,             0.08614,            0.078386,            0.022535,           0.0068886,           0.0068886,           0.0068886
                  13,            0.090433,             0.10256,            0.022865,             0.70414,            0.038462,            0.025741,           0.0081985,             0.08647,            0.076736,            0.020881,           0.0066057,           0.0066057,           0.0066057
                  14,            0.094156,             0.10602,            0.020902,             0.71471,            0.038462,            0.025862,           0.0079907,            0.083524,             0.07717,            0.018985,           0.0063229,           0.0063229,           0.0063229
