               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12716,            0.059904,            0.029764,            0.001287,            0.030467,          0.00086934,          0.00017387,             0.11852,            0.039754,            0.028067,              0.0883,              0.0013,              0.0013
                   1,             0.12384,            0.063662,            0.028594,           0.0011531,            0.030467,          0.00067883,          0.00011806,             0.11463,            0.041511,            0.028142,            0.075624,           0.0026236,           0.0026236
                   2,             0.11903,            0.064303,            0.027446,           0.0014851,            0.049697,            0.001182,          0.00025643,             0.11241,            0.042752,            0.025798,            0.062868,           0.0038681,           0.0038681
                   3,             0.11416,            0.068773,            0.025709,           0.0036936,             0.16832,           0.0031111,           0.0010248,              0.1096,            0.043617,            0.026077,            0.050033,           0.0050333,           0.0050333
                   4,             0.11112,            0.075681,            0.023818,           0.0060332,             0.20678,            0.009121,           0.0020221,             0.10543,            0.045078,            0.025584,            0.037119,           0.0061193,           0.0061193
                   5,             0.10886,            0.081056,            0.022119,           0.0069876,             0.15385,            0.009677,           0.0019649,             0.10281,            0.044584,            0.022621,            0.024126,           0.0071261,           0.0071261
                   6,             0.10711,            0.071142,            0.019926,             0.16542,            0.076923,            0.053839,            0.013312,             0.10064,            0.044968,            0.021384,            0.011054,           0.0080538,           0.0080538
                   7,             0.09988,            0.071662,            0.018133,             0.27852,            0.096154,             0.10445,             0.02675,             0.10038,            0.049344,            0.022126,             0.00802,             0.00802,             0.00802
                   8,            0.097122,            0.065267,            0.016971,             0.67456,            0.096154,            0.076528,            0.019461,            0.099871,            0.058888,            0.022379,             0.00802,             0.00802,             0.00802
                   9,            0.096101,            0.069995,            0.016512,             0.54951,            0.063527,            0.027682,           0.0074473,             0.10016,            0.049142,            0.020433,           0.0077371,           0.0077371,           0.0077371
                  10,            0.098576,            0.083185,            0.015076,             0.55914,             0.13462,            0.055367,            0.014882,            0.097932,            0.052438,            0.017531,           0.0074543,           0.0074543,           0.0074543
                  11,            0.093064,            0.077104,            0.014667,             0.56915,             0.19231,            0.049809,            0.014163,            0.093949,            0.052583,            0.015893,           0.0071714,           0.0071714,           0.0071714
                  12,            0.087849,            0.070001,            0.014762,             0.13342,             0.19231,            0.078427,            0.020995,            0.093288,            0.054111,            0.013185,           0.0068886,           0.0068886,           0.0068886
                  13,            0.093215,            0.075348,            0.012823,             0.69758,             0.15385,             0.16091,            0.044258,            0.086978,            0.056166,            0.011734,           0.0066057,           0.0066057,           0.0066057
                  14,            0.092956,            0.083152,            0.012177,             0.77777,             0.21154,             0.18703,            0.046725,            0.085358,            0.053142,            0.010355,           0.0063229,           0.0063229,           0.0063229
                  15,            0.087033,            0.075972,             0.01024,             0.85268,             0.17308,             0.21963,            0.073129,            0.079423,            0.052758,           0.0094913,             0.00604,             0.00604,             0.00604
                  16,            0.086605,            0.076914,            0.010367,             0.25639,             0.18127,             0.12548,            0.028328,             0.08388,            0.049358,           0.0080031,           0.0057571,           0.0057571,           0.0057571
                  17,            0.089668,            0.085235,           0.0087668,             0.52064,             0.24762,             0.22708,             0.07882,            0.076049,            0.050362,            0.007489,           0.0054743,           0.0054743,           0.0054743
                  18,            0.081833,            0.070962,           0.0092097,             0.71992,             0.24583,             0.20029,            0.059712,            0.078595,            0.046521,           0.0067951,           0.0051914,           0.0051914,           0.0051914
                  19,             0.08206,            0.077995,           0.0090015,             0.61456,             0.24115,             0.23686,            0.068451,             0.07563,            0.046702,           0.0065937,           0.0049086,           0.0049086,           0.0049086
                  20,            0.078659,            0.080276,           0.0083948,             0.71304,             0.23953,             0.19951,            0.058141,            0.079095,            0.046069,             0.00633,           0.0046257,           0.0046257,           0.0046257
                  21,            0.080407,            0.068371,           0.0080463,             0.86382,             0.26923,             0.34707,             0.11633,             0.07484,            0.046609,           0.0057778,           0.0043429,           0.0043429,           0.0043429
                  22,            0.076775,            0.075084,           0.0071559,             0.87136,             0.22236,             0.33768,             0.11001,            0.073196,             0.04652,           0.0053621,             0.00406,             0.00406,             0.00406
                  23,            0.075945,            0.075448,           0.0074822,             0.72094,             0.17308,             0.19271,            0.055017,            0.076761,            0.045885,           0.0048934,           0.0037771,           0.0037771,           0.0037771
                  24,            0.076151,            0.083699,           0.0072439,             0.46693,             0.32455,             0.32959,             0.11169,            0.071648,            0.046873,           0.0047822,           0.0034943,           0.0034943,           0.0034943
                  25,            0.074391,            0.078536,           0.0061405,              0.7519,             0.23077,             0.27853,            0.071102,            0.072303,            0.046208,           0.0050763,           0.0032114,           0.0032114,           0.0032114
                  26,            0.074063,            0.074568,           0.0064861,             0.36165,             0.29732,             0.29635,             0.10935,            0.071084,            0.046025,           0.0050654,           0.0029286,           0.0029286,           0.0029286
                  27,            0.073769,            0.071081,           0.0062013,             0.47343,             0.33578,             0.31782,             0.10806,            0.069902,            0.045936,           0.0048146,           0.0026457,           0.0026457,           0.0026457
                  28,            0.071509,            0.085852,           0.0051161,             0.26662,             0.44965,             0.31008,             0.10987,            0.069622,            0.045937,           0.0047583,           0.0023629,           0.0023629,           0.0023629
                  29,            0.072274,            0.080595,           0.0066698,             0.28035,             0.43604,             0.32436,             0.12224,            0.070692,            0.046424,           0.0049496,             0.00208,             0.00208,             0.00208
                  30,            0.069793,            0.078969,           0.0052908,             0.25503,             0.42243,             0.32308,            0.098179,            0.071432,            0.046633,           0.0049474,           0.0017971,           0.0017971,           0.0017971
                  31,            0.071754,            0.071337,           0.0063503,             0.78812,                0.25,             0.34208,             0.12827,            0.069527,            0.047345,           0.0046363,           0.0015143,           0.0015143,           0.0015143
                  32,            0.071138,            0.082379,           0.0052037,             0.27379,             0.37187,             0.30759,             0.11944,             0.07075,            0.046831,            0.004612,           0.0012314,           0.0012314,           0.0012314
                  33,            0.070254,             0.07771,           0.0054496,             0.23286,              0.3831,             0.31082,             0.11634,            0.070834,             0.04655,           0.0047689,          0.00094857,          0.00094857,          0.00094857
                  34,            0.068377,             0.07642,           0.0060835,               0.241,             0.40831,             0.30151,             0.11361,            0.070287,            0.046124,            0.004525,          0.00066571,          0.00066571,          0.00066571
