                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0891,                 4.6497,                 4.2345,                0.00189,                0.13786,                 0.0015,                 0.0004,                 4.3045,                 4.1767,                 4.1599,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 4.9487,                 4.4118,                 4.2178,                0.00189,                0.13786,                 0.0013,                0.00037,                 4.3029,                 4.1736,                 4.1594,             0.00014854,             0.00014854,             0.00014854
                      3,                 4.7923,                 4.5262,                 4.2048,                0.00118,                0.19231,                0.00124,                0.00053,                 4.3029,                 4.1701,                  4.158,             0.00022876,             0.00022876,             0.00022876
                      4,                 4.7893,                 4.3784,                  4.164,                0.00118,                0.19231,                0.00123,                0.00054,                 4.2989,                 4.1654,                 4.1557,             0.00030732,             0.00030732,             0.00030732
                      5,                 4.8154,                 4.3749,                 4.1539,                0.00117,                0.19231,                0.00122,                0.00054,                 4.2986,                 4.1592,                 4.1518,             0.00038424,             0.00038424,             0.00038424
                      6,                 4.9967,                 4.2271,                 4.1134,                0.00117,                0.19231,                0.00237,                0.00075,                 4.2958,                 4.1565,                  4.148,              0.0004595,              0.0004595,              0.0004595
                      7,                 4.9421,                  4.193,                 4.0755,                0.00118,                0.19231,                0.00229,                0.00067,                 4.2923,                 4.1577,                  4.142,             0.00053311,             0.00053311,             0.00053311
                      8,                 4.8525,                 3.9205,                 3.9778,                0.00118,                0.19231,                0.00289,                0.00085,                 4.2862,                 4.1357,                 4.1381,             0.00060508,             0.00060508,             0.00060508
                      9,                 4.6431,                  3.714,                 3.9518,                 0.0016,                0.19793,                0.00296,                0.00074,                 4.2688,                 4.1598,                 4.1433,             0.00067539,             0.00067539,             0.00067539
                     10,                   4.27,                 3.5865,                 3.8088,                0.00209,                0.15709,                0.00284,                0.00081,                 4.2511,                 4.1969,                 4.1565,             0.00074405,             0.00074405,             0.00074405
                     11,                 4.0941,                  3.411,                 3.7142,                 0.0021,                0.18993,                0.00267,                0.00084,                 4.2252,                 4.1057,                 4.1623,             0.00081106,             0.00081106,             0.00081106
                     12,                  4.175,                 3.3437,                  3.597,                0.00163,                0.14585,                0.00197,                0.00052,                 4.1995,                 4.1544,                 4.1542,             0.00087642,             0.00087642,             0.00087642
                     13,                 4.0958,                 3.2768,                 3.5163,                0.00183,                0.15147,                0.00198,                0.00058,                 4.1787,                 4.2123,                 4.1698,             0.00094013,             0.00094013,             0.00094013
                     14,                  3.923,                 3.3065,                 3.4131,                0.00185,                0.16508,                0.00178,                0.00063,                 4.2147,                 4.3039,                 4.2124,              0.0010022,              0.0010022,              0.0010022
                     15,                 3.7573,                 3.1513,                 3.2847,                0.00186,                0.16508,                0.00189,                0.00058,                 4.3434,                 4.3582,                 4.2514,              0.0010626,              0.0010626,              0.0010626
                     16,                 3.9779,                  3.163,                 3.1887,                0.00186,                0.16508,                0.00204,                0.00065,                 4.4631,                   4.45,                 4.2873,              0.0011214,              0.0011214,              0.0011214
